2025-08-05T02:19:40: Socket.IO 服务器运行在端口 3001 (进程: 7000)
2025-08-05T02:19:40: 环境: production
2025-08-05T02:19:40: 健康检查: http://localhost:3001/health
2025-08-05T02:19:47: Socket.IO 服务器运行在端口 3001 (进程: 20788)
2025-08-05T02:19:47: 环境: production
2025-08-05T02:19:47: 健康检查: http://localhost:3001/health
2025-08-05T02:20:17: [2025-08-04T18:20:17.844Z] 在线用户: 0
2025-08-05T02:20:47: [2025-08-04T18:20:47.854Z] 在线用户: 0
2025-08-05T02:21:17: [2025-08-04T18:21:17.855Z] 在线用户: 0
2025-08-05T02:21:47: [2025-08-04T18:21:47.869Z] 在线用户: 0
2025-08-05T02:22:17: [2025-08-04T18:22:17.882Z] 在线用户: 0
2025-08-05T02:22:47: [2025-08-04T18:22:47.895Z] 在线用户: 0
2025-08-05T02:23:17: [2025-08-04T18:23:17.903Z] 在线用户: 0
2025-08-05T02:23:47: [2025-08-04T18:23:47.916Z] 在线用户: 0
2025-08-05T02:24:17: [2025-08-04T18:24:17.924Z] 在线用户: 0
2025-08-05T02:24:47: [2025-08-04T18:24:47.935Z] 在线用户: 0
2025-08-05T02:25:17: [2025-08-04T18:25:17.946Z] 在线用户: 0
2025-08-05T02:25:47: [2025-08-04T18:25:47.959Z] 在线用户: 0
2025-08-05T02:26:17: [2025-08-04T18:26:17.965Z] 在线用户: 0
2025-08-05T02:26:47: [2025-08-04T18:26:47.966Z] 在线用户: 0
2025-08-05T02:27:17: [2025-08-04T18:27:17.971Z] 在线用户: 0
2025-08-05T02:27:47: [2025-08-04T18:27:47.985Z] 在线用户: 0
2025-08-05T02:28:17: [2025-08-04T18:28:17.984Z] 在线用户: 0
2025-08-05T02:28:47: [2025-08-04T18:28:47.999Z] 在线用户: 0
2025-08-05T02:29:18: [2025-08-04T18:29:18.002Z] 在线用户: 0
2025-08-05T02:29:48: [2025-08-04T18:29:48.008Z] 在线用户: 0
2025-08-05T02:30:18: [2025-08-04T18:30:18.012Z] 在线用户: 0
2025-08-05T02:30:48: [2025-08-04T18:30:48.017Z] 在线用户: 0
2025-08-05T02:31:18: [2025-08-04T18:31:18.029Z] 在线用户: 0
2025-08-05T02:31:48: [2025-08-04T18:31:48.033Z] 在线用户: 0
2025-08-05T02:32:18: [2025-08-04T18:32:18.041Z] 在线用户: 0
2025-08-05T02:32:48: [2025-08-04T18:32:48.043Z] 在线用户: 0
2025-08-05T02:33:18: [2025-08-04T18:33:18.055Z] 在线用户: 0
2025-08-05T02:33:31: 用户连接: EB0l0jpaTqr3hsoYAAAE (进程: 20788)
2025-08-05T02:33:31: 用户连接: zrMmmFCmvLsJkJK9AAAF (进程: 20788)
2025-08-05T02:33:31: 用户 访客440 加入聊天室，当前在线: 1
2025-08-05T02:33:31: 用户 访客530 加入聊天室，当前在线: 2
2025-08-05T02:33:48: [2025-08-04T18:33:48.058Z] 在线用户: 2
2025-08-05T02:34:18: [2025-08-04T18:34:18.064Z] 在线用户: 2
2025-08-05T02:34:48: [2025-08-04T18:34:48.075Z] 在线用户: 2
2025-08-05T02:34:57: 用户 访客440 离开聊天室 (原因: transport close)，当前在线: 1
2025-08-05T02:34:57: 用户 访客530 离开聊天室 (原因: transport error)，当前在线: 0
2025-08-05T02:35:18: [2025-08-04T18:35:18.082Z] 在线用户: 0
2025-08-05T02:35:48: [2025-08-04T18:35:48.095Z] 在线用户: 0
2025-08-05T02:36:18: [2025-08-04T18:36:18.110Z] 在线用户: 0
2025-08-05T02:36:48: [2025-08-04T18:36:48.111Z] 在线用户: 0
2025-08-05T02:37:03: 用户连接: 7qH1rLV1OphUEFb8AAAJ (进程: 20788)
2025-08-05T02:37:03: 用户 访客193 加入聊天室，当前在线: 1
2025-08-05T02:37:03: 用户连接: fPdC0g46mD1c36D7AAAL (进程: 20788)
2025-08-05T02:37:03: 用户 访客334 加入聊天室，当前在线: 2
2025-08-05T02:37:18: [2025-08-04T18:37:18.141Z] 在线用户: 2
2025-08-05T02:37:34: 用户 访客193 离开聊天室 (原因: transport close)，当前在线: 1
2025-08-05T02:37:34: 用户 访客334 离开聊天室 (原因: transport error)，当前在线: 0
2025-08-05T02:37:48: [2025-08-04T18:37:48.149Z] 在线用户: 0
2025-08-05T02:38:18: [2025-08-04T18:38:18.152Z] 在线用户: 0
2025-08-05T02:38:48: [2025-08-04T18:38:48.166Z] 在线用户: 0
2025-08-05T02:39:18: [2025-08-04T18:39:18.176Z] 在线用户: 0
2025-08-05T02:39:48: [2025-08-04T18:39:48.181Z] 在线用户: 0
2025-08-05T02:40:18: [2025-08-04T18:40:18.189Z] 在线用户: 0
2025-08-05T02:40:48: [2025-08-04T18:40:48.194Z] 在线用户: 0
2025-08-05T02:41:18: [2025-08-04T18:41:18.203Z] 在线用户: 0
2025-08-05T02:41:48: [2025-08-04T18:41:48.207Z] 在线用户: 0
2025-08-05T02:42:18: [2025-08-04T18:42:18.215Z] 在线用户: 0
2025-08-05T02:42:48: [2025-08-04T18:42:48.222Z] 在线用户: 0
2025-08-05T02:43:18: [2025-08-04T18:43:18.229Z] 在线用户: 0
2025-08-05T02:43:48: [2025-08-04T18:43:48.239Z] 在线用户: 0
2025-08-05T02:44:18: [2025-08-04T18:44:18.249Z] 在线用户: 0
2025-08-05T02:44:48: [2025-08-04T18:44:48.249Z] 在线用户: 0
2025-08-05T02:45:18: [2025-08-04T18:45:18.264Z] 在线用户: 0
2025-08-05T02:45:48: [2025-08-04T18:45:48.264Z] 在线用户: 0
2025-08-05T02:46:18: [2025-08-04T18:46:18.267Z] 在线用户: 0
2025-08-05T02:46:48: [2025-08-04T18:46:48.273Z] 在线用户: 0
2025-08-05T02:47:18: [2025-08-04T18:47:18.272Z] 在线用户: 0
2025-08-05T02:47:48: [2025-08-04T18:47:48.285Z] 在线用户: 0
2025-08-05T10:46:51: [2025-08-05T02:46:51.919Z] 在线用户: 0
2025-08-05T10:47:21: [2025-08-05T02:47:21.933Z] 在线用户: 0
2025-08-05T10:47:51: [2025-08-05T02:47:51.940Z] 在线用户: 0
2025-08-05T10:48:21: [2025-08-05T02:48:21.941Z] 在线用户: 0
2025-08-05T10:48:51: [2025-08-05T02:48:51.952Z] 在线用户: 0
2025-08-05T10:49:21: [2025-08-05T02:49:21.962Z] 在线用户: 0
2025-08-05T10:49:51: [2025-08-05T02:49:51.965Z] 在线用户: 0
2025-08-05T10:50:21: [2025-08-05T02:50:21.978Z] 在线用户: 0
2025-08-05T10:50:51: [2025-08-05T02:50:51.990Z] 在线用户: 0
2025-08-05T10:51:21: [2025-08-05T02:51:21.999Z] 在线用户: 0
2025-08-05T10:51:52: [2025-08-05T02:51:52.009Z] 在线用户: 0
2025-08-05T10:52:22: [2025-08-05T02:52:22.020Z] 在线用户: 0
2025-08-05T10:52:52: [2025-08-05T02:52:52.023Z] 在线用户: 0
2025-08-05T10:53:22: [2025-08-05T02:53:22.034Z] 在线用户: 0
2025-08-05T10:53:52: [2025-08-05T02:53:52.034Z] 在线用户: 0
2025-08-05T10:54:22: [2025-08-05T02:54:22.036Z] 在线用户: 0
2025-08-05T10:54:52: [2025-08-05T02:54:52.046Z] 在线用户: 0
2025-08-05T10:55:22: [2025-08-05T02:55:22.052Z] 在线用户: 0
2025-08-05T10:55:52: [2025-08-05T02:55:52.061Z] 在线用户: 0
2025-08-05T10:56:22: [2025-08-05T02:56:22.063Z] 在线用户: 0
2025-08-05T10:56:52: [2025-08-05T02:56:52.074Z] 在线用户: 0
2025-08-05T10:57:22: [2025-08-05T02:57:22.077Z] 在线用户: 0
2025-08-05T10:57:52: [2025-08-05T02:57:52.085Z] 在线用户: 0
2025-08-05T10:58:22: [2025-08-05T02:58:22.085Z] 在线用户: 0
2025-08-05T10:58:52: [2025-08-05T02:58:52.096Z] 在线用户: 0
2025-08-05T10:59:22: [2025-08-05T02:59:22.097Z] 在线用户: 0
2025-08-05T10:59:52: [2025-08-05T02:59:52.098Z] 在线用户: 0
2025-08-05T11:00:22: [2025-08-05T03:00:22.109Z] 在线用户: 0
2025-08-05T11:00:52: [2025-08-05T03:00:52.125Z] 在线用户: 0
2025-08-05T11:01:22: [2025-08-05T03:01:22.137Z] 在线用户: 0
2025-08-05T11:01:52: [2025-08-05T03:01:52.147Z] 在线用户: 0
2025-08-05T11:02:22: [2025-08-05T03:02:22.149Z] 在线用户: 0
2025-08-05T11:02:52: [2025-08-05T03:02:52.155Z] 在线用户: 0
2025-08-05T11:03:22: [2025-08-05T03:03:22.167Z] 在线用户: 0
2025-08-05T11:03:52: [2025-08-05T03:03:52.166Z] 在线用户: 0
2025-08-05T11:04:22: [2025-08-05T03:04:22.168Z] 在线用户: 0
2025-08-05T11:04:52: [2025-08-05T03:04:52.169Z] 在线用户: 0
2025-08-05T11:05:22: [2025-08-05T03:05:22.176Z] 在线用户: 0
2025-08-05T11:05:52: [2025-08-05T03:05:52.191Z] 在线用户: 0
2025-08-05T11:06:22: [2025-08-05T03:06:22.196Z] 在线用户: 0
2025-08-05T11:06:52: [2025-08-05T03:06:52.207Z] 在线用户: 0
2025-08-05T11:07:22: [2025-08-05T03:07:22.215Z] 在线用户: 0
2025-08-05T11:07:52: [2025-08-05T03:07:52.227Z] 在线用户: 0
2025-08-05T11:08:22: [2025-08-05T03:08:22.233Z] 在线用户: 0
2025-08-05T11:08:52: [2025-08-05T03:08:52.244Z] 在线用户: 0
2025-08-05T11:09:22: [2025-08-05T03:09:22.255Z] 在线用户: 0
2025-08-05T11:09:52: [2025-08-05T03:09:52.270Z] 在线用户: 0
2025-08-05T11:10:22: [2025-08-05T03:10:22.275Z] 在线用户: 0
2025-08-05T11:10:52: [2025-08-05T03:10:52.288Z] 在线用户: 0
2025-08-05T11:11:22: [2025-08-05T03:11:22.291Z] 在线用户: 0
2025-08-05T11:11:52: [2025-08-05T03:11:52.295Z] 在线用户: 0
2025-08-05T11:12:22: [2025-08-05T03:12:22.308Z] 在线用户: 0
2025-08-05T11:12:52: [2025-08-05T03:12:52.315Z] 在线用户: 0
2025-08-05T11:13:22: [2025-08-05T03:13:22.326Z] 在线用户: 0
2025-08-05T11:13:52: [2025-08-05T03:13:52.330Z] 在线用户: 0
2025-08-05T11:14:22: [2025-08-05T03:14:22.337Z] 在线用户: 0
2025-08-05T11:14:52: [2025-08-05T03:14:52.351Z] 在线用户: 0
2025-08-05T11:15:22: [2025-08-05T03:15:22.361Z] 在线用户: 0
2025-08-05T11:15:52: [2025-08-05T03:15:52.364Z] 在线用户: 0
2025-08-05T11:16:22: [2025-08-05T03:16:22.374Z] 在线用户: 0
2025-08-05T11:16:52: [2025-08-05T03:16:52.378Z] 在线用户: 0
2025-08-05T11:17:22: [2025-08-05T03:17:22.383Z] 在线用户: 0
2025-08-05T11:17:52: [2025-08-05T03:17:52.389Z] 在线用户: 0
2025-08-05T11:18:22: [2025-08-05T03:18:22.404Z] 在线用户: 0
2025-08-05T11:18:52: [2025-08-05T03:18:52.416Z] 在线用户: 0
